block,inflation,stakingRatio,bondedAmount,totalSupply
5943348.0,0.1301455870625011,0.6,568768204.265421,1114613673.7755404
5995944.0,0.13040375755354625,0.6,569494628.2125399,1115824380.354083
6048540.0,0.13066177057377895,0.6,570223282.7009861,1117038804.5014927
6101136.0,0.1309196259831709,0.6,570954172.4135815,1118256954.0224817
6153732.0,0.13117732364271353,0.6,571687302.0490254,1119478836.74818
6206328.0,0.1314348634144147,0.6,572422676.3218918,1120704460.5362997
6258924.0,0.13169224516130276,0.6,573160299.962748,1121933833.271065
6311520.0,0.1319494687474226,0.6,573900177.7181413,1123166962.8633845
6364116.0,0.13220653403783506,0.6,574642314.3506504,1124403857.250896
6416712.0,0.13246344089862078,0.6,575386714.6389297,1125644524.3980322
6469308.0,0.13272018919687167,0.6,576133383.3777739,1126888972.296103
6521904.0,0.13297677880069655,0.6,576882325.3781282,1128137208.96337
6574500.0,0.1332332095792172,0.6,577633545.4671547,1129389242.4450758
6627096.0,0.1334894814025681,0.6,578387048.4882615,1130645080.8135817
6679692.0,0.13374559414189896,0.6,579142839.3011626,1131904732.1684191
6732288.0,0.13400154766936742,0.6,579900922.7819058,1133168204.6363518
6784884.0,0.1342573418581448,0.6,580661303.8229337,1134435506.3713892
6837480.0,0.13451297658241002,0.6,581423987.3331112,1135706645.5550206
6890076.0,0.1347684517173549,0.6,582188978.2377864,1136981630.396145
6942672.0,0.1350237671391754,0.6,582956281.4787982,1138260469.1311696
6995268.0,0.13527892272507744,0.6,583725902.014579,1139543170.024141
7047864.0,0.1355339183532726,0.6,584497844.820157,1140829741.3667765
7100460.0,0.13578875390298054,0.6,585272114.8872194,1142120191.4785368
7153056.0,0.13604342925442311,0.6,586048717.2241441,1143414528.7067497
7205652.0,0.13629794428882774,0.6,586827656.8560622,1144712761.4266112
7258248.0,0.13655229888842405,0.6,587608938.8248874,1146014898.0413172
7310844.0,0.13680649293644667,0.6,588392568.1893661,1147320946.982128
7363440.0,0.13706052631712864,0.6,589178550.0251422,1148630916.7084165
7416036.0,0.13731439891570632,0.6,589966889.4247706,1149944815.7077942
7468632.0,0.1375681106184122,0.6,590757591.4977825,1151262652.496144
7521228.0,0.1378216613124817,0.6,591550661.3707378,1152584435.6177404
7573824.0,0.13807505088614486,0.6,592346104.1872514,1153910173.6451404
7626420.0,0.13832827922862986,0.6,593143925.1080629,1155239875.1798275
7679016.0,0.13858134623015914,0.6,593944129.3110688,1156573548.8514972
7731612.0,0.1388342517819524,0.6,594746721.9913611,1157911203.3186586
7784208.0,0.1390869957762219,0.6,595551708.3613081,1159252847.2685752
7836804.0,0.13933957810617298,0.6,596359093.6505728,1160598489.4173546
7889400.0,0.1395919986660031,0.6,597168883.1061586,1161948138.5099998
7941996.0,0.1398442573508998,0.6,597981081.9924812,1163301803.320542
7994592.0,0.14009635405704113,0.6,598795695.5913776,1164659492.6520536
8047188.0,0.14034828868159152,0.6,599612729.202217,1166021215.336787
8099784.0,0.14060006112271034,0.6,600432188.1418816,1167386980.2362254
8152380.0,0.14085167127953657,0.6,601254077.7448504,1168756796.2411675
8204976.0,0.14110311905219733,0.6,602078403.3632438,1170130672.2718341
8257572.0,0.14135440434180338,0.6,602905170.3668796,1171508617.2778919
8310168.0,0.14160552705044882,0.6,603734384.1433005,1172890640.2385948
8362764.0,0.1418564870812139,0.6,604566050.0978467,1174276750.1628478
8415360.0,0.1421072843381561,0.6,605400173.6536754,1175666956.0892258
8467956.0,0.1423579187263136,0.6,606236760.2518497,1177061267.0861752
8520552.0,0.14260839015170612,0.6,607075815.3513663,1178459692.2520156
8573148.0,0.14285869852132882,0.6,607917344.429189,1179862240.7150524
8625744.0,0.14310884374315666,0.6,608761352.9803358,1181268921.6336434
8678340.0,0.14335882572613437,0.6,609607846.5179086,1182679744.1962593
8730936.0,0.1436086443801866,0.6,610456830.573137,1184094717.621641
8783532.0,0.14385829961621036,0.6,611308310.6954423,1185513851.1588233
8836128.0,0.14410779134607515,0.6,612162292.4524902,1186937154.0872164
8888724.0,0.14435711948261937,0.6,613018781.4302288,1188364635.7167761
8941320.0,0.14460628393965297,0.6,613877783.2329417,1189796305.3879702
8993916.0,0.14485528463195574,0.6,614739303.4833134,1191232172.4719336
9046512.0,0.1451041214752708,0.6,615603347.8224598,1192672246.3705173
9099108.0,0.14535279438631157,0.6,616469921.9100142,1194116536.5164337
9151704.0,0.14560130328275375,0.6,617339031.4241284,1195565052.3732932
9204300.0,0.14584964808323903,0.6,618210682.0615711,1197017803.4357018
9256896.0,0.14609782870736995,0.6,619084879.5377599,1198474799.229356
9309492.0,0.14634584507571144,0.6,619961629.5868226,1199936049.3111153
9362088.0,0.14659369710978695,0.6,620840937.9616202,1201401563.2691145
9414684.0,0.14684138473207992,0.6,621722810.4338405,1202871350.7228172
9467280.0,0.14708890786603276,0.6,622607252.7940434,1204345421.3231246
9519876.0,0.14733626643603798,0.6,623494270.851682,1205823784.7525187
9572472.0,0.14758346036744943,0.6,624383870.4351962,1207306450.725037
9625068.0,0.14783048958657172,0.6,625276057.3920467,1208793428.9864373
9677664.0,0.14807735402066288,0.6,626170837.588756,1210284729.314283
9730260.0,0.14832405359793013,0.6,627068216.910996,1211780361.5180204
9782856.0,0.1485705882475327,0.6,627968201.2636161,1213280335.4390624
9835452.0,0.14881695789957583,0.6,628870796.5707153,1214784660.950884
9888048.0,0.14906316248511245,0.6,629776008.7756705,1216293347.9591403
9940644.0,0.14930920193614086,0.6,630683843.8412199,1217806406.4017313
9993240.0,0.14955507618560476,0.6,631594307.7495008,1219323846.248861
