block,inflation,stakingRatio,annualProvision,blockProvision
6048540.0,0.13066177057377895,0.6,145954259.4961899,23.12505695873417
6101136.0,0.1309196259831709,0.6,146401773.65624368,23.1959612987432
6153732.0,0.13117732364271353,0.6,146850229.14389735,23.267014783110465
6206328.0,0.1314348634144147,0.6,147299629.1451385,23.338217916625236
6258924.0,0.13169224516130276,0.6,147749976.85446885,23.40957120542577
6311520.0,0.1319494687474226,0.6,148201275.47494528,23.481075157005804
6364116.0,0.13220653403783506,0.6,148653528.21820796,23.55273028021902
6416712.0,0.13246344089862078,0.6,149106738.3045167,23.624537085284796
6469308.0,0.13272018919687167,0.6,149560908.962775,23.696496083792017
6521904.0,0.13297677880069655,0.6,150016043.43056953,23.76860778870534
6574500.0,0.1332332095792172,0.6,150472144.954193,23.840872714368803
6627096.0,0.1334894814025681,0.6,150929216.78868523,23.91329137651235
6679692.0,0.13374559414189896,0.6,151387262.1978662,23.985864292257048
6732288.0,0.13400154766936742,0.6,151846284.45435974,24.05859198011885
6784884.0,0.1342573418581448,0.6,152306286.8396251,24.13147496001361
6837480.0,0.13451297658241002,0.6,152767272.64400485,24.204513753264642
6890076.0,0.1347684517173549,0.6,153229245.16674557,24.277708882606024
6942672.0,0.1350237671391754,0.6,153692207.71602404,24.35106087218674
6995268.0,0.13527892272507744,0.6,154156163.60899612,24.424570247578416
7047864.0,0.1355339183532726,0.6,154621116.17181912,24.49823753577888
7100460.0,0.13578875390298054,0.6,155087068.7396887,24.572063265218
7153056.0,0.13604342925442311,0.6,155554024.65687248,24.646047965763
7205652.0,0.13629794428882774,0.6,156021987.27673844,24.720192168722974
7258248.0,0.13655229888842405,0.6,156490959.96179256,24.794496406854854
7310844.0,0.13680649293644667,0.6,156960946.08371514,24.868961214369143
7363440.0,0.13706052631712864,0.6,157431949.02338406,24.94358712693362
7416036.0,0.13731439891570632,0.6,157903972.17092162,25.01837468168074
7468632.0,0.1375681106184122,0.6,158377018.92571533,25.09332441721096
7521228.0,0.1378216613124817,0.6,158851092.69646627,25.16843687360038
7573824.0,0.13807505088614486,0.6,159326196.90118912,25.24371259240074
7626420.0,0.13832827922862986,0.6,159802334.96732947,25.319152116658028
7679016.0,0.13858134623015914,0.6,160279510.33168527,25.394755990900016
7731612.0,0.1388342517819524,0.6,160757726.44051787,25.470524761153868
7784208.0,0.1390869957762219,0.6,161236986.74956313,25.546458974947893
7836804.0,0.13933957810617298,0.6,161717294.72406936,25.622559181317552
7889400.0,0.1395919986660031,0.6,162198653.8388279,25.69882593081031
7941996.0,0.1398442573508998,0.6,162681067.57821435,25.77525977549217
7994592.0,0.14009635405704113,0.6,163164539.43621546,25.851861268951925
8047188.0,0.14034828868159152,0.6,163649072.9164692,25.928630966307512
8099784.0,0.14060006112271034,0.6,164134671.53230643,26.00556942421262
8152380.0,0.14085167127953657,0.6,164621338.80677038,26.08267720085976
8204976.0,0.14110311905219733,0.6,165109078.27266636,26.159954855988154
8257572.0,0.14135440434180338,0.6,165597893.47258568,26.23740295088753
8310168.0,0.14160552705044882,0.6,166087787.95894995,26.31502204840513
8362764.0,0.1418564870812139,0.6,166578765.29404926,26.392812712951756
8415360.0,0.1421072843381561,0.6,167070829.0500595,26.47077551050452
8467956.0,0.1423579187263136,0.6,167563982.80910066,26.548911008616095
8520552.0,0.14260839015170612,0.6,168058230.16326365,26.627219776418936
8573148.0,0.14285869852132882,0.6,168553574.7146447,26.705702384630754
8625744.0,0.14310884374315666,0.6,169050020.07538584,26.784359405560917
8678340.0,0.14335882572613437,0.6,169547569.86769742,26.863191413114023
8730936.0,0.1436086443801866,0.6,170046227.72391838,26.94219898279945
8783532.0,0.14385829961621036,0.6,170545997.28653663,27.02138269173458
8836128.0,0.14410779134607515,0.6,171046882.20822713,27.100743118650836
8888724.0,0.14435711948261937,0.6,171548886.1518977,27.180280843900945
8941320.0,0.14460628393965297,0.6,172052012.79071385,27.259996449462864
8993916.0,0.14485528463195574,0.6,172556265.80814517,27.339890518947126
9046512.0,0.1451041214752708,0.6,173061648.8979908,27.419963637600894
9099108.0,0.14535279438631157,0.6,173568165.76443523,27.500216392316783
9151704.0,0.14560130328275375,0.6,174075820.12207043,27.58064937163638
9204300.0,0.14584964808323903,0.6,174584615.69594085,27.661263165757354
9256896.0,0.14609782870736995,0.6,175094556.22157764,27.742058366538906
9309492.0,0.14634584507571144,0.6,175605645.4450376,27.823035567507922
9362088.0,0.14659369710978695,0.6,176117887.12294176,27.904195363865085
9414684.0,0.14684138473207992,0.6,176631285.02251154,27.98553835249061
9467280.0,0.14708890786603276,0.6,177145842.92161027,28.067065131950823
9519876.0,0.14733626643603798,0.6,177661564.6087806,28.148776302504086
9572472.0,0.14758346036744943,0.6,178178453.883281,28.23067246610658
9625068.0,0.14783048958657172,0.6,178696514.5551244,28.312754226418424
9677664.0,0.14807735402066288,0.6,179215750.4451211,28.39502218881048
9730260.0,0.14832405359793013,0.6,179736165.3849123,28.47747696036966
9782856.0,0.1485705882475327,0.6,180257763.21701282,28.5601191499057
9835452.0,0.14881695789957583,0.6,180780547.79484564,28.642949367956632
9888048.0,0.14906316248511245,0.6,181304522.9827885,28.725968226796162
9940644.0,0.14930920193614086,0.6,181829692.65620837,28.809176340439127
9993240.0,0.14955507618560476,0.6,182356060.7014978,28.892574324647278
